table,column,n_unique_original,rare_grouped,value,n,pct
invoice_train,counter_statue,12,False,1,74036,1.6538
invoice_train,counter_statue,12,False,5,20628,0.4608
invoice_train,counter_statue,12,False,4,2729,0.061
invoice_train,counter_statue,12,False,3,258,0.0058
invoice_train,counter_statue,12,False,2,32,0.0007
invoice_train,counter_statue,12,False,46,14,0.0003
invoice_train,counter_statue,12,False,A,13,0.0003
invoice_train,counter_statue,12,False,618,12,0.0003
invoice_train,counter_statue,12,False,769,6,0.0001
invoice_train,counter_statue,12,False,269375,1,0.0
invoice_train,counter_statue,12,False,420,1,0.0
invoice_train,counter_code,42,True,203,1516834,33.8826
invoice_train,counter_code,42,True,5,1352032,30.2013
invoice_train,counter_code,42,True,207,555627,12.4114
invoice_train,counter_code,42,True,413,378915,8.4641
invoice_train,counter_code,42,True,202,343251,7.6674
invoice_train,counter_code,42,True,420,98270,2.1951
invoice_train,counter_code,42,True,410,69080,1.5431
invoice_train,counter_code,42,True,otras,54786,1.2238
invoice_train,counter_code,42,True,433,34447,0.7695
invoice_train,counter_code,42,True,10,27744,0.6197
invoice_train,counter_code,42,True,442,17050,0.3809
invoice_train,counter_code,42,True,25,14934,0.3336
invoice_train,counter_code,42,True,407,13768,0.3075
invoice_train,reading_remarque,8,False,6,2230928,49.8338
invoice_train,reading_remarque,8,False,9,1416992,31.6523
invoice_train,reading_remarque,8,False,8,828123,18.4984
invoice_train,reading_remarque,8,False,7,661,0.0148
invoice_train,reading_remarque,8,False,203,15,0.0003
invoice_train,reading_remarque,8,False,413,12,0.0003
invoice_train,reading_remarque,8,False,207,6,0.0001
invoice_train,reading_remarque,8,False,5,1,0.0
invoice_train,counter_type,2,False,ELEC,3079398,68.7866
invoice_train,counter_type,2,False,GAZ,1397340,31.2134
invoice_train,logical_duplicate,2,False,False,4447460,99.346
invoice_train,logical_duplicate,2,False,True,29278,0.654
invoice_train,counter_statue_invalid,2,False,False,4476691,99.999
invoice_train,counter_statue_invalid,2,False,True,47,0.001
invoice_train,reading_remarque_invalid,2,False,False,4476704,99.9992
invoice_train,reading_remarque_invalid,2,False,True,34,0.0008
invoice_train,months_number_invalid,2,False,False,4452695,99.4629
invoice_train,months_number_invalid,2,False,True,24043,0.5371
invoice_train,index_regression,2,False,False,4474474,99.9494
invoice_train,index_regression,2,False,True,2264,0.0506
invoice_test,tarif_type,16,True,11,1159532,59.7783
invoice_test,tarif_type,16,True,40,595446,30.6975
invoice_test,tarif_type,16,True,10,119575,6.1645
invoice_test,tarif_type,16,True,15,31538,1.6259
invoice_test,tarif_type,16,True,45,8476,0.437
invoice_test,tarif_type,16,True,13,5966,0.3076
invoice_test,tarif_type,16,True,14,5912,0.3048
invoice_test,tarif_type,16,True,12,5795,0.2988
invoice_test,tarif_type,16,True,29,5035,0.2596
invoice_test,tarif_type,16,True,9,2370,0.1222
invoice_test,tarif_type,16,True,8,33,0.0017
invoice_test,tarif_type,16,True,otras,23,0.0012
invoice_test,tarif_type,16,True,21,21,0.0011
invoice_test,counter_statue,6,False,0,1897683,97.8327
invoice_test,counter_statue,6,False,1,31805,1.6397
invoice_test,counter_statue,6,False,5,8965,0.4622
invoice_test,counter_statue,6,False,4,1177,0.0607
invoice_test,counter_statue,6,False,3,80,0.0041
invoice_test,counter_statue,6,False,2,12,0.0006
invoice_test,counter_code,39,True,203,656970,33.8693
invoice_test,counter_code,39,True,5,581518,29.9795
invoice_test,counter_code,39,True,207,236336,12.184
invoice_test,counter_code,39,True,413,167157,8.6176
invoice_test,counter_code,39,True,202,148741,7.6682
invoice_test,counter_code,39,True,420,45768,2.3595
invoice_test,counter_code,39,True,410,29767,1.5346
invoice_test,counter_code,39,True,otras,25031,1.2904
invoice_test,counter_code,39,True,433,14005,0.722
invoice_test,counter_code,39,True,10,13934,0.7184
invoice_test,counter_code,39,True,442,7747,0.3994
invoice_test,counter_code,39,True,25,6845,0.3529
invoice_test,counter_code,39,True,204,5903,0.3043
invoice_test,reading_remarque,4,False,6,965586,49.7796
invoice_test,reading_remarque,4,False,9,616146,31.7647
invoice_test,reading_remarque,4,False,8,357690,18.4403
invoice_test,reading_remarque,4,False,7,300,0.0155
invoice_test,counter_type,2,False,ELEC,1335788,68.8649
invoice_test,counter_type,2,False,GAZ,603934,31.1351
invoice_test,logical_duplicate,2,False,False,1925586,99.2712
invoice_test,logical_duplicate,2,False,True,14136,0.7288
invoice_test,counter_statue_invalid,1,False,False,1939722,100.0
invoice_test,reading_remarque_invalid,1,False,False,1939722,100.0
invoice_test,months_number_invalid,2,False,False,1929321,99.4638
invoice_test,months_number_invalid,2,False,True,10401,0.5362
invoice_test,index_regression,2,False,False,1938668,99.9457
invoice_test,index_regression,2,False,True,1054,0.0543
