variable,n,n_pos,n_neg,median_neg,median_pos,mean_neg,mean_pos,rank_biserial,ci95_lo,ci95_hi,abs_effect,above_threshold,mannwhitney_u,p_value,n_bootstrap
exp_cons_total_median,135493,7566,127927,303.0,309.5,505.71609980692114,527.904771345493,0.06185,0.04989,0.07327,0.06185,False,513879897.0,1.3572952846839171e-19,400
exp_median_gap_days,130422,7519,122903,121.5,121.0,131.14557822022246,122.45278627477059,-0.04825,-0.06185,-0.03482,0.04825,False,439760261.0,1.8460787663297794e-12,400
exp_invoices_per_year,130246,7518,122728,3.640365448504983,4.155627793579845,4.476777563463982,4.367765406259369,0.04133,0.02932,0.05496,0.04133,False,480399286.5,1.6972737971995946e-09,400
exp_rate_logical_duplicate,135493,7566,127927,0.0,0.0,0.0038238198445366984,0.006299379979623742,0.01902,0.01483,0.02339,0.01902,False,493154408.5,3.235443432371258e-37,400
exp_rate_months_number_invalid,135493,7566,127927,0.0,0.0,0.013604408943589786,0.00953688414154899,0.01529,0.00824,0.02237,0.01529,False,491347768.5,3.851522937651098e-05,400
exp_rate_index_regression,135493,7566,127927,0.0,0.0,0.0005234702642758193,0.0010740405870089062,0.0146,0.01113,0.01802,0.0146,False,491014374.0,7.204342179898621e-27,400
exp_rate_rr_7,135493,7566,127927,0.0,0.0,0.001864839912308015,3.478164085868915e-06,-0.0036,-0.00397,-0.00317,0.0036,False,482207075.5,2.9359276568077536e-07,400
exp_months_number_mean,135011,7562,127449,4.166666666666667,4.185330948121646,4.2991578604454235,4.2154610964153125,-0.00064,-0.01418,0.01214,0.00064,False,481576526.0,0.9253354598851787,400
exp_counter_coefficient_max,135493,7566,127927,1.0,1.0,1.0026108640083797,1.0017182130584192,-0.00013,-0.00044,0.00031,0.00013,False,483886643.0,0.5852933224699517,400
exp_rate_counter_statue_invalid,135493,7566,127927,0.0,0.0,2.2116073374794203e-05,0.0,-5e-05,-9e-05,-1e-05,5e-05,False,483925143.0,0.5513770033809255,400
exp_rate_reading_remarque_invalid,135493,7566,127927,0.0,0.0,2.0198706291473836e-05,0.0,-4e-05,-8e-05,-1e-05,4e-05,False,483928926.0,0.5865853219974058,400
